iter	MultiClass
0	1.029051808
1	0.9741656752
2	0.9299773755
3	0.8909491202
4	0.8586954371
5	0.8315881269
6	0.8087346387
7	0.7853625361
8	0.7691510702
9	0.7496445146
10	0.7320860759
11	0.7165872923
12	0.7048117706
13	0.6899265631
14	0.6792883873
15	0.6673325817
16	0.6579738881
17	0.6477936632
18	0.641251177
19	0.6319744378
20	0.6250778431
21	0.6156675407
22	0.6100210974
23	0.600899776
24	0.594665608
25	0.5873144343
26	0.5799591519
27	0.57372044
28	0.5693297323
29	0.5647921214
30	0.5616825101
31	0.5562179555
32	0.552986372
33	0.5489418435
34	0.5432674531
35	0.5404003078
36	0.5379016873
37	0.5348725473
38	0.5321148752
39	0.5275621725
40	0.5255742395
41	0.5228531552
42	0.5188330539
43	0.514347479
44	0.5115085051
45	0.5089624179
46	0.5071264416
47	0.504120884
48	0.4997693129
49	0.4974835885
50	0.493914259
51	0.4909968755
52	0.4880993085
53	0.4860717231
54	0.4837733442
55	0.4820662874
56	0.4793605505
57	0.477192305
58	0.475226115
59	0.4727625836
60	0.4713276153
61	0.4690344327
62	0.4667085546
63	0.4650409142
64	0.4630847964
65	0.4610583191
66	0.459663032
67	0.4584509806
68	0.4569814636
69	0.4556013291
70	0.4546118627
71	0.4510593537
72	0.4492159859
73	0.4480730332
74	0.4467602715
75	0.4455936146
76	0.4444471296
77	0.4415392197
78	0.4401660252
79	0.4375564886
80	0.4364893305
81	0.435358961
82	0.4341756616
83	0.4327925964
84	0.4315977386
85	0.429348158
86	0.4278729518
87	0.4265218674
88	0.4253980847
89	0.4243416007
90	0.4220430176
91	0.420306613
92	0.4186661008
93	0.4172987469
94	0.4159113411
95	0.4144913261
96	0.4131642045
97	0.4119283369
98	0.4108503739
99	0.4095177185
