iter	Passed	Remaining
0	134	13328
1	136	6664
2	137	4439
3	139	3338
4	140	2670
5	141	2221
6	142	1898
7	144	1659
8	145	1473
9	146	1321
10	147	1197
11	148	1092
12	149	1003
13	151	929
14	152	864
15	153	806
16	155	757
17	156	712
18	157	672
19	158	634
20	159	601
21	160	570
22	162	542
23	163	516
24	164	493
25	165	471
26	166	450
27	168	432
28	169	414
29	170	398
30	171	382
31	172	367
32	174	354
33	175	340
34	176	327
35	177	316
36	178	304
37	179	293
38	181	283
39	182	273
40	183	263
41	184	255
42	185	246
43	186	237
44	187	229
45	188	221
46	190	214
47	191	207
48	192	200
49	193	193
50	194	187
51	195	180
52	197	174
53	198	168
54	199	163
55	200	157
56	201	152
57	202	146
58	203	141
59	204	136
60	206	131
61	207	127
62	208	122
63	209	117
64	210	113
65	212	109
66	213	105
67	214	100
68	215	96
69	216	92
70	217	88
71	218	85
72	219	81
73	220	77
74	222	74
75	223	70
76	224	66
77	225	63
78	226	60
79	227	56
80	228	53
81	229	50
82	230	47
83	231	44
84	233	41
85	234	38
86	235	35
87	236	32
88	237	29
89	238	26
90	239	23
91	240	20
92	241	18
93	243	15
94	244	12
95	245	10
96	246	7
97	247	5
98	248	2
99	249	0
